"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAttachment","EHDSAttachment","EHDSAttachment","","","",0,*,"","","","null {[]} {[]}
","Attachment model","EHDS refined base model for This type is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAttachment","EHDSAttachment.contentType","EHDSAttachment.contentType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Mime type of the content, with charset etc.","Mime type of the content, with charset etc.","","","","","","","","","",,"preferred","BCP-13","","",,,,"EHDSAttachment.contentType",0,1,"",""
"EHDSAttachment","EHDSAttachment.language","EHDSAttachment.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Human language of the content","Human language of the content","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSAttachment.language",0,1,"",""
"EHDSAttachment","EHDSAttachment.data","EHDSAttachment.data","","","",0,1,"","","","base64Binary {[]} {[]}
","The actual data of the attachment - a sequence of bytes, base64 encoded.","The actual data of the attachment - a sequence of bytes, base64 encoded.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.data",0,1,"",""
"EHDSAttachment","EHDSAttachment.url","EHDSAttachment.url","","","",0,1,"","","","uri {[]} {[]}
","A location where the data can be accessed.","A location where the data can be accessed.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.url",0,1,"",""
"EHDSData","EHDSData","EHDSData","","","",0,*,"","","","null {[]} {[]}
","Resource header model","Common header elements for all structured EHDS data exchange.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSData","EHDSData.metadata","EHDSData.metadata","","","",1,1,"","","","Base {[]} {[]}
","Metadata","Metadata grouper","","","","","","","","","",,,,,"",,,,"EHDSData.metadata",1,1,"",""
"EHDSData","EHDSData.metadata.identifier","EHDSData.metadata.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the data object","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.identifier",0,*,"",""
"EHDSData","EHDSData.metadata.subject","EHDSData.metadata.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.subject",1,1,"",""
"EHDSData","EHDSData.metadata.authorship","EHDSData.metadata.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Document/resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.authorship",1,*,"",""
"EHDSData","EHDSData.metadata.authorship.author","EHDSData.metadata.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Author","Author by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.authorship.author",1,1,"",""
"EHDSData","EHDSData.metadata.authorship.datetime","EHDSData.metadata.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.authorship.datetime",1,1,"",""
"EHDSData","EHDSData.metadata.lastUpdate","EHDSData.metadata.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.lastUpdate",0,1,"",""
"EHDSData","EHDSData.metadata.status","EHDSData.metadata.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.status",1,1,"",""
"EHDSData","EHDSData.metadata.statusReason","EHDSData.metadata.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for the status of the resource","Reason for the status of the resource","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.statusReason",0,1,"",""
"EHDSData","EHDSData.metadata.version","EHDSData.metadata.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.version",0,1,"",""
"EHDSData","EHDSData.metadata.language","EHDSData.metadata.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSData.metadata.language",0,1,"",""
"EHDSData","EHDSData.presentedForm","EHDSData.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","The human-readable representation of the data set","The human-readable representation of the data set","","","","","","","","","",,,,,"",,,,"EHDSData.presentedForm",0,*,"",""
"EHDSDocument","EHDSDocument","EHDSDocument","","","",0,*,"","","","null {[]} {[]}
","Common model for EHDS document exchange","Common header elements for all EHDS document exchange.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDocument","EHDSDocument.metadata","EHDSDocument.metadata","","","",1,1,"","","","Base {[]} {[]}
","Metadata","Metadata grouper","","","","","","","","","",,,,,"",,,,"EHDSData.metadata",1,1,"",""
"EHDSDocument","EHDSDocument.metadata.identifier","EHDSDocument.metadata.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the data object","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.identifier",0,*,"",""
"EHDSDocument","EHDSDocument.metadata.subject","EHDSDocument.metadata.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.subject",1,1,"",""
"EHDSDocument","EHDSDocument.metadata.authorship","EHDSDocument.metadata.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Document/resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSData.metadata.authorship",1,*,"",""
